500 40 1
40
	0	86	1	87	2	27	3	39	4	85	5	57	6	66	7	21	8	87	9	26	10	72	11	34	12	20	13	10	14	86	15	72	16	88	17	27	18	53	19	67	20	22	21	8	22	98	23	88	24	55	25	72	26	55	27	23	28	51	29	80	30	43	31	9	32	72	33	75	34	79	35	15	36	68	37	59	38	17	39	14	
	0	8	1	2	2	38	3	96	4	95	5	81	6	1	7	13	8	7	9	78	10	95	11	51	12	29	13	17	14	22	15	8	16	4	17	39	18	90	19	97	20	64	21	54	22	42	23	77	24	66	25	25	26	52	27	60	28	55	29	88	30	32	31	86	32	75	33	18	34	39	35	100	36	35	37	87	38	9	39	60	
	0	22	1	45	2	16	3	34	4	73	5	98	6	24	7	56	8	50	9	11	10	61	11	32	12	48	13	9	14	84	15	85	16	46	17	5	18	99	19	6	20	37	21	40	22	63	23	19	24	20	25	96	26	75	27	98	28	51	29	97	30	50	31	47	32	92	33	47	34	13	35	41	36	27	37	61	38	69	39	44	
	0	71	1	69	2	21	3	59	4	2	5	54	6	5	7	82	8	14	9	19	10	51	11	2	12	43	13	66	14	85	15	78	16	19	17	81	18	88	19	94	20	72	21	10	22	4	23	12	24	37	25	22	26	54	27	82	28	94	29	19	30	39	31	19	32	45	33	79	34	74	35	22	36	71	37	73	38	97	39	44	
	0	64	1	52	2	28	3	71	4	25	5	62	6	76	7	31	8	40	9	98	10	40	11	21	12	22	13	59	14	59	15	8	16	49	17	97	18	74	19	7	20	7	21	51	22	47	23	66	24	11	25	18	26	86	27	97	28	19	29	85	30	48	31	19	32	44	33	22	34	91	35	85	36	11	37	85	38	23	39	13	
	0	96	1	5	2	63	3	38	4	37	5	75	6	79	7	6	8	72	9	24	10	73	11	72	12	82	13	39	14	57	15	29	16	45	17	67	18	76	19	5	20	73	21	50	22	66	23	11	24	44	25	18	26	80	27	60	28	72	29	79	30	37	31	98	32	38	33	84	34	24	35	30	36	20	37	99	38	71	39	32	
	0	70	1	66	2	99	3	3	4	58	5	23	6	97	7	92	8	8	9	4	10	61	11	57	12	10	13	61	14	34	15	99	16	13	17	28	18	10	19	73	20	32	21	23	22	12	23	68	24	53	25	45	26	39	27	99	28	75	29	38	30	21	31	72	32	4	33	85	34	77	35	82	36	24	37	16	38	55	39	90	
	0	58	1	71	2	43	3	49	4	90	5	58	6	18	7	12	8	64	9	53	10	17	11	3	12	45	13	46	14	66	15	76	16	47	17	5	18	57	19	71	20	92	21	17	22	87	23	19	24	12	25	24	26	23	27	92	28	60	29	9	30	55	31	97	32	97	33	26	34	2	35	42	36	44	37	40	38	44	39	38	
	0	60	1	7	2	21	3	86	4	61	5	15	6	96	7	26	8	32	9	29	10	49	11	98	12	49	13	100	14	50	15	57	16	40	17	51	18	52	19	14	20	89	21	47	22	4	23	23	24	87	25	27	26	76	27	35	28	61	29	16	30	29	31	89	32	17	33	68	34	80	35	11	36	21	37	19	38	10	39	33	
	0	54	1	4	2	55	3	74	4	23	5	70	6	19	7	10	8	31	9	2	10	84	11	30	12	9	13	54	14	4	15	25	16	6	17	4	18	4	19	80	20	13	21	81	22	1	23	44	24	63	25	10	26	51	27	9	28	88	29	53	30	68	31	98	32	22	33	17	34	8	35	33	36	21	37	59	38	68	39	85	
